City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
206,Soyo,AO,77.68,overcast clouds,-6.1349,12.3689,Hotel Mpampa
210,Itoman,JP,71.98,scattered clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
213,Unguia,CO,75.16,overcast clouds,8.0434,-77.0945,Residencias El Golfo
214,Namibe,AO,69.17,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
216,Castro,BR,58.3,scattered clouds,-24.7911,-50.0119,CHACARA BAILLY
217,Puerto Ayora,EC,68.45,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
219,Ahipara,NZ,73.56,scattered clouds,-35.1667,173.1667,Ahipara Holiday Park
223,Tateyama,JP,51.15,scattered clouds,34.9833,139.8667,Tateyama Seaside Hotel
224,Bonthe,SL,79.25,scattered clouds,7.5264,-12.505,Bonthe Holiday Village
229,San Policarpo,PH,79.66,overcast clouds,12.1791,125.5072,Agapita M. Nicart
230,Dingle,PH,79.86,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
231,Sola,VU,79.23,overcast clouds,-13.8833,167.55,Leumerus Bungalows
234,Flinders,AU,67.17,overcast clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
236,Le Port,RE,79.61,clear sky,-20.9373,55.2919,KORBEY D'OR OUEST
237,Iranshahr,IR,56.89,clear sky,27.2025,60.6848,نیک سرشت
238,Malanje,AO,64.47,overcast clouds,-9.5402,16.341,Malanje Hotel
240,Burnie,AU,57.38,overcast clouds,-41.0667,145.9167,Beachfront Voyager Motor Inn
248,Dezful,IR,56.91,broken clouds,32.3811,48.4058,مهمانپذیر خوزستان
253,San Cristobal,VE,69.98,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
254,Saint-Philippe,RE,79.21,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
256,Muroto,JP,52.57,broken clouds,33.2833,134.15,Oota Ryokan
257,Concordia,AR,70.79,scattered clouds,-31.393,-58.0209,Palmar Hotel Casino
260,Gurupi,BR,72.27,overcast clouds,-11.7292,-49.0686,Via Norte Hotel
261,Santander Jimenez,MX,69.06,scattered clouds,24.2167,-98.4667,Papas inc
262,Arraial Do Cabo,BR,72.48,clear sky,-22.9661,-42.0278,Pousada Porto Praia
263,Takoradi,GH,79.72,overcast clouds,4.8845,-1.7554,Raybow International Hotel
264,Dedza,MW,64.09,clear sky,-14.3779,34.3332,Kapeleta Dedza Estates
266,Montepuez,MZ,66.96,scattered clouds,-13.1256,38.9997,PembaAparthotel
271,Lazaro Cardenas,MX,76.84,broken clouds,17.9583,-102.2,quinta antigua
273,Laguna,US,55.2,mist,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
279,Constitucion,CL,61.07,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
280,Hasaki,JP,52.29,clear sky,35.7333,140.8333,Hotel Sunrise Choshi
283,Porangatu,BR,71.13,light rain,-13.4408,-49.1486,Wembley Park Hotel
295,Kaabong,UG,63.12,broken clouds,3.4836,34.1492,Rock Motel Ltd
298,Nouadhibou,MR,64.38,overcast clouds,20.931,-17.0347,El Medina
299,Kinston,US,56.25,clear sky,35.2627,-77.5816,Hampton Inn Kinston
301,Codrington,AU,63.03,clear sky,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
302,Tabuk,PH,72.3,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
305,Atar,MR,69.84,overcast clouds,20.5169,-13.0499,Oumou Elghoura
306,Sunbury,AU,71.83,scattered clouds,-37.5833,144.7333,Sunbury Motor Inn
307,Senanga,ZM,68.04,overcast clouds,-16.1167,23.2667,Zango lodge
309,Pisco,PE,65.01,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
311,Bandarbeyla,SO,73.54,overcast clouds,9.4942,50.8122,JABIR HOTEL
312,Trelew,AR,70.11,clear sky,-43.249,-65.3051,Hotel Touring Club
321,Lichtenburg,ZA,59.7,light rain,-26.152,26.1597,Kennzy Guest House
324,Lima,PE,67.89,broken clouds,-12.0432,-77.0282,Gran Hotel Bolivar Lima
325,Clarence Town,AU,71.94,overcast clouds,-32.5833,151.7833,River Downs Cottage
327,Pulaski,US,59.25,overcast clouds,34.7668,-92.3001,DoubleTree by Hilton Hotel Little Rock
329,La Quinta,US,73.56,clear sky,33.6634,-116.31,Embassy Suites by Hilton La Quinta Hotel & Spa
331,Hefei,CN,55.54,overcast clouds,31.8639,117.2808,Jinhuan Hotel
335,Jasper,US,57.81,overcast clouds,37.2001,-94.3502,Guest House Motel
338,Villarrica,PY,72.95,few clouds,-25.75,-56.4333,Mansión Reljuv Tours SA
340,Tuatapere,NZ,52.83,light rain,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
347,Bandundu,CD,72.61,overcast clouds,-3.3167,17.3667,Coja Color
351,Callaway,US,59.0,fog,30.153,-85.5699,"Holiday Inn Express & Suites Panama City-Tyndall, an IHG Hotel"
355,Zongozotla,MX,64.0,scattered clouds,19.9833,-97.7333,Yei Nakú
356,Port Shepstone,ZA,71.33,overcast clouds,-30.7414,30.455,My Den Beachfront Bed and Breakfast | Self-Catering
363,Benito Juarez,MX,62.42,clear sky,19.385,-99.165,Hotel Novit
364,Bac Lieu,VN,76.32,broken clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
365,Vao,NC,76.78,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
371,Gafargaon,BD,73.38,overcast clouds,24.4333,90.5667,গফরগাঁও ধামাইল ঢালীবাড়ী
374,Formosa Do Rio Preto,BR,68.14,overcast clouds,-11.0483,-45.1931,Porto Center Hotel
375,Jalu,LY,54.39,clear sky,29.0331,21.5482,صاحبة الفخامة
376,Puerto Ayacucho,VE,75.54,broken clouds,5.6639,-67.6236,Posada Turistica Manapiare
377,Sena Madureira,BR,75.29,overcast clouds,-9.0656,-68.6569,Hotel Central
378,Sur,OM,72.81,few clouds,22.5667,59.5289,Sur Plaza Hotel
379,Pangkalanbuun,ID,79.9,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
383,Teacapan,MX,73.49,broken clouds,22.55,-105.75,Hotel los Mangos
387,Yarada,IN,79.12,light intensity drizzle,17.65,83.2667,Vishranti
389,Coquimbo,CL,58.73,overcast clouds,-29.9533,-71.3436,Punto de encuentro
390,Sao Felix Do Xingu,BR,72.39,light rain,-6.6447,-51.995,Rio Xingu Camping
392,Pochutla,MX,76.82,clear sky,15.7432,-96.4661,Hotel Posada San Jose
393,Conde,BR,78.26,broken clouds,-7.2597,-34.9075,Pousada Beija Flor
400,Xuddur,SO,68.67,broken clouds,4.1213,43.8894,Banjanay Hotel
406,Pilar,BR,78.73,broken clouds,-9.5972,-35.9567,Pousada e churrascaria Manguaba
409,Mbour,SN,72.45,overcast clouds,14.422,-16.9638,Tama Lodge
413,Santiago,CL,74.86,clear sky,-33.4569,-70.6483,Che Lagarto Hostel Santiago
416,Lashio,MM,69.08,scattered clouds,22.9333,97.75,Hotel CF Lashio - Burmese Only
418,Cayenne,GF,76.08,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
420,Ulladulla,AU,66.87,overcast clouds,-35.35,150.4667,Sandpiper Motel
424,Ixtapa,MX,78.03,few clouds,20.7,-105.2,Hotel Plaza Providencia
426,Havelock,US,57.18,overcast clouds,34.8791,-76.9013,Sherwood Motel
428,Numan,NG,74.95,overcast clouds,9.4667,12.0333,Zangun Motel
