City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
144,Dunedin,-45.8742,170.5036,53.22,94,100,18.05,NZ,2021-12-05 02:45:52
145,East London,-33.0153,27.9116,68.86,95,100,20.33,ZA,2021-12-05 02:46:03
146,Springville,40.1652,-111.6107,50.67,61,1,4.61,US,2021-12-05 02:43:53
147,Noumea,-22.2763,166.4572,87.78,99,42,10.16,NC,2021-12-05 02:46:03
148,Male,4.1748,73.5089,82.35,83,40,13.8,MV,2021-12-05 02:46:04
149,Katsuura,35.1333,140.3,55.18,60,63,13.89,JP,2021-12-05 02:42:34
150,Butaritari,3.0707,172.7902,83.26,78,100,19.71,KI,2021-12-05 02:46:04
151,Lugovoy,42.9472,72.7644,39.99,74,75,4.85,KZ,2021-12-05 02:46:05
152,Victoria,22.2855,114.1577,69.04,48,84,1.01,HK,2021-12-05 02:46:05
153,Henties Bay,-22.116,14.2845,56.86,88,0,7.65,NA,2021-12-05 02:46:06
154,Kisesa,-3.0833,34.15,65.75,76,99,6.15,TZ,2021-12-05 02:46:06
155,Sovetskiy,61.3614,63.5842,0.66,94,100,7.92,RU,2021-12-05 02:46:06
156,Atuona,-9.8,-139.0333,78.53,75,6,17.13,PF,2021-12-05 02:39:28
157,Mogok,22.9167,96.5,70.32,54,84,1.41,MM,2021-12-05 02:46:07
158,Tautira,-17.7333,-149.15,82.42,73,29,12.8,PF,2021-12-05 02:46:07
159,Busselton,-33.65,115.3333,80.55,31,31,8.72,AU,2021-12-05 02:44:13
160,Sangueya,10.7,-14.3667,75.61,96,11,3.49,GN,2021-12-05 02:46:08
161,Figeac,44.75,1.9167,37.78,98,100,6.11,FR,2021-12-05 02:46:09
162,Sorong,-0.8833,131.25,82.26,78,79,7.81,ID,2021-12-05 02:46:09
163,Bo Phloi,14.3236,99.5161,69.76,51,100,12.91,TH,2021-12-05 02:46:09
164,Vihti,60.417,24.3197,9.82,82,14,8.01,FI,2021-12-05 02:46:10
165,Langxiang,46.95,128.8833,28.56,62,21,6.15,CN,2021-12-05 02:46:10
166,Morondava,-20.2833,44.2833,79.14,81,6,4.43,MG,2021-12-05 02:46:11
167,Bogovarovo,58.9785,47.0246,-0.58,95,97,6.87,RU,2021-12-05 02:46:11
168,Labuhan,-6.8844,112.2051,83.46,73,97,10.22,ID,2021-12-05 02:46:12
169,Hilo,19.7297,-155.09,70.25,93,90,0.0,US,2021-12-05 02:46:12
170,Franca,-20.5386,-47.4008,67.23,81,92,4.7,BR,2021-12-05 02:45:21
171,Saldanha,-33.0117,17.9442,59.05,94,100,10.04,ZA,2021-12-05 02:46:13
172,Sitka,57.0531,-135.33,30.09,86,75,4.61,US,2021-12-05 02:46:13
173,Posse,-14.0931,-46.3694,67.57,95,81,4.92,BR,2021-12-05 02:46:14
174,Severo-Kurilsk,50.6789,156.125,31.87,64,87,23.69,RU,2021-12-05 02:46:14
175,Maymyo,22.0333,96.4667,66.76,67,68,2.53,MM,2021-12-05 02:46:15
176,Ambulu,-8.345,113.6058,83.57,68,98,3.27,ID,2021-12-05 02:46:15
177,Vila Velha,-20.3297,-40.2925,73.35,91,75,1.14,BR,2021-12-05 02:45:22
178,Bulgan,48.8125,103.5347,26.28,36,0,10.96,MN,2021-12-05 02:46:15
179,Rome,34.257,-85.1647,63.79,90,90,0.0,US,2021-12-05 02:47:16
180,Longhua,23.6137,114.1919,68.09,25,70,3.74,CN,2021-12-05 02:47:16
181,Sao Paulo De Olivenca,-3.3783,-68.8725,73.69,99,100,2.06,BR,2021-12-05 02:47:17
182,Adrar,20.5022,-10.0711,62.37,21,100,10.18,MR,2021-12-05 02:47:17
183,Katherine,-14.4667,132.2667,98.92,36,96,8.05,AU,2021-12-05 02:47:17
184,Ust-Maya,60.4167,134.5333,-5.75,95,98,3.89,RU,2021-12-05 02:47:18
185,Brae,60.3964,-1.353,37.31,65,98,25.1,GB,2021-12-05 02:47:18
186,Ostrovnoy,68.0531,39.5131,6.35,95,83,8.43,RU,2021-12-05 02:47:19
187,Moose Factory,51.2585,-80.6094,3.2,72,40,11.5,CA,2021-12-05 02:47:19
188,Upata,8.0086,-62.3989,69.73,92,27,3.94,VE,2021-12-05 02:47:19
189,Cape Town,-33.9258,18.4232,62.1,90,90,5.01,ZA,2021-12-05 02:37:02
190,Buraydah,26.326,43.975,52.25,46,5,9.82,SA,2021-12-05 02:47:20
191,Bud,39.447,-86.1758,38.32,72,2,7.07,US,2021-12-05 02:47:20
192,Port Alberni,49.2413,-124.8028,40.84,96,81,3.0,CA,2021-12-05 02:47:20
193,Naze,28.3667,129.4833,61.72,60,93,10.76,JP,2021-12-05 02:47:21
194,Bocas Del Toro,9.3333,-82.25,78.53,78,100,6.22,PA,2021-12-05 02:47:21
195,Batagay-Alyta,67.8006,130.4114,-23.35,99,100,1.36,RU,2021-12-05 02:47:22
196,Omboue,-1.5746,9.2618,77.11,92,100,6.82,GA,2021-12-05 02:47:22
197,Severnoye,56.3491,78.3619,28.17,94,99,15.9,RU,2021-12-05 02:47:23
198,Zelenoborskiy,66.845,32.3622,-2.81,98,39,3.78,RU,2021-12-05 02:47:23
199,Lebu,-37.6167,-73.65,53.53,86,0,17.85,CL,2021-12-05 02:47:23
200,Chama,47.1821,8.4636,39.36,85,98,3.36,CH,2021-12-05 02:47:24
201,Zhigansk,66.7697,123.3711,-13.43,98,100,11.72,RU,2021-12-05 02:47:24
202,Dauriya,49.9333,116.8667,22.77,79,9,18.23,RU,2021-12-05 02:47:25
203,Coihaique,-45.5752,-72.0662,57.15,62,20,8.05,CL,2021-12-05 02:47:25
204,Kouango,4.9934,19.9619,73.26,77,84,1.74,CF,2021-12-05 02:47:26
205,Eirunepe,-6.6603,-69.8736,73.96,98,92,0.98,BR,2021-12-05 02:47:26
206,Soyo,-6.1349,12.3689,77.68,89,98,5.35,AO,2021-12-05 02:47:26
207,Kashi,39.4547,75.9797,27.61,50,57,8.95,CN,2021-12-05 02:47:27
208,Majene,-3.5403,118.9707,82.22,80,96,11.52,ID,2021-12-05 02:47:27
209,Tessalit,20.1986,1.0114,62.91,17,100,8.21,ML,2021-12-05 02:47:28
210,Itoman,26.1247,127.6694,71.98,44,40,13.8,JP,2021-12-05 02:47:28
211,Georgetown,5.4112,100.3354,83.89,70,20,1.01,MY,2021-12-05 02:47:29
212,Sistranda,63.7256,8.834,30.16,63,74,9.28,NO,2021-12-05 02:47:29
213,Unguia,8.0434,-77.0945,75.16,97,100,1.54,CO,2021-12-05 02:47:30
214,Namibe,-15.1961,12.1522,69.17,73,37,3.31,AO,2021-12-05 02:47:30
215,Teguldet,57.3064,88.1667,21.06,92,100,10.0,RU,2021-12-05 02:47:30
216,Castro,-24.7911,-50.0119,58.3,99,42,5.53,BR,2021-12-05 02:39:30
217,Puerto Ayora,-0.7393,-90.3518,68.45,91,38,6.02,EC,2021-12-05 02:47:31
