City_ID,City,Lat,Lng,Description,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
95,Mahebourg,-20.4081,57.7,few clouds,79.25,68,13,11.48,MU,2021-12-05 03:08:41
96,Shenjiamen,29.9576,122.298,overcast clouds,57.97,54,100,4.65,CN,2021-12-05 03:05:24
97,Mar Del Plata,-38.0023,-57.5575,overcast clouds,61.09,87,100,1.01,AR,2021-12-05 03:08:41
98,Goma,-1.6792,29.2228,overcast clouds,62.65,85,100,2.62,CD,2021-12-05 03:08:42
99,The Valley,18.217,-63.0578,clear sky,80.1,75,3,18.86,AI,2021-12-05 03:08:42
100,Qaanaaq,77.484,-69.3632,overcast clouds,3.83,63,95,9.17,GL,2021-12-05 03:08:42
101,Isangel,-19.55,169.2667,light rain,82.26,74,100,12.12,VU,2021-12-05 03:08:43
102,Avarua,-21.2078,-159.775,scattered clouds,80.65,83,40,5.75,CK,2021-12-05 03:08:43
103,Port Blair,11.6667,92.75,broken clouds,81.84,72,64,12.41,IN,2021-12-05 03:08:43
104,Beloha,-25.1667,45.05,few clouds,73.85,87,15,1.1,MG,2021-12-05 03:08:44
105,Hervey Bay,-25.2986,152.8535,broken clouds,84.31,70,74,5.99,AU,2021-12-05 03:08:33
106,Miquelon,47.0975,-56.3814,overcast clouds,36.09,55,100,27.98,PM,2021-12-05 03:08:44
107,Faya,18.3851,42.4509,clear sky,45.12,39,0,2.33,SA,2021-12-05 03:08:44
108,Tagusao,9.1924,117.8141,scattered clouds,84.18,68,29,5.64,PH,2021-12-05 03:08:45
109,Hobart,-42.8794,147.3294,scattered clouds,73.02,47,40,1.01,AU,2021-12-05 03:08:45
110,Longyearbyen,78.2186,15.6401,broken clouds,19.24,73,75,18.41,SJ,2021-12-05 03:08:45
111,Vardo,70.3705,31.1107,scattered clouds,20.75,72,47,29.64,NO,2021-12-05 03:08:46
112,Ranong,9.9658,98.6348,overcast clouds,78.42,63,98,11.18,TH,2021-12-05 03:08:46
113,Saint-Joseph,-21.3667,55.6167,scattered clouds,78.21,77,25,9.22,RE,2021-12-05 03:08:46
114,Camacupa,-12.0167,17.4833,overcast clouds,61.7,98,100,3.09,AO,2021-12-05 03:08:47
115,Te Anau,-45.4167,167.7167,light rain,45.72,97,100,6.82,NZ,2021-12-05 03:08:47
116,Ancud,-41.8697,-73.8203,clear sky,54.93,78,0,3.53,CL,2021-12-05 03:08:47
117,Darhan,49.4867,105.9228,overcast clouds,18.52,75,99,1.72,MN,2021-12-05 03:08:48
118,Carnarvon,-24.8667,113.6333,clear sky,82.47,61,0,8.05,AU,2021-12-05 03:08:48
119,Camacha,33.0833,-16.3333,scattered clouds,62.02,63,40,13.8,PT,2021-12-05 03:08:48
120,Bilibino,68.0546,166.4372,broken clouds,-36.76,95,58,4.65,RU,2021-12-05 03:08:49
121,Cabedelo,-6.9811,-34.8339,scattered clouds,79.47,84,40,11.74,BR,2021-12-05 03:08:49
122,Gurgentepe,40.7883,37.6017,overcast clouds,42.69,58,100,8.75,TR,2021-12-05 03:08:49
123,Qui Nhon,13.7667,109.2333,overcast clouds,71.38,78,100,19.37,VN,2021-12-05 03:08:50
124,Adeje,28.1227,-16.726,few clouds,66.56,54,20,20.71,ES,2021-12-05 03:08:50
125,Tolaga Bay,-38.3667,178.3,broken clouds,73.67,58,74,18.12,NZ,2021-12-05 03:08:50
126,Vila Franca Do Campo,37.7167,-25.4333,scattered clouds,61.21,83,46,1.23,PT,2021-12-05 03:08:51
127,Bethel,41.3712,-73.414,clear sky,42.49,77,1,3.44,US,2021-12-05 03:08:51
128,Tarandacuao,20.0,-100.5333,broken clouds,53.78,43,67,4.47,MX,2021-12-05 03:08:51
129,Tahta,26.7693,31.5021,broken clouds,62.02,28,80,10.18,EG,2021-12-05 03:08:52
130,Ponta Do Sol,32.6667,-17.1,overcast clouds,65.03,66,90,9.33,PT,2021-12-05 03:08:52
131,Vredendal,-31.6683,18.5012,light rain,62.24,77,58,3.02,ZA,2021-12-05 03:08:53
132,Grandola,38.1772,-8.5668,few clouds,53.35,94,13,7.27,PT,2021-12-05 03:08:53
133,Bisho,-32.8472,27.4422,overcast clouds,62.91,98,98,6.64,ZA,2021-12-05 03:08:54
134,Ambilobe,-13.2,49.05,scattered clouds,76.35,72,41,4.25,MG,2021-12-05 03:08:54
135,Dikson,73.5069,80.5464,light snow,-11.18,98,100,20.65,RU,2021-12-05 03:08:54
136,Mahajanga,-15.7167,46.3167,few clouds,78.82,65,20,6.91,MG,2021-12-05 03:08:54
137,Malakal,9.5334,31.6605,few clouds,77.25,34,14,5.14,SS,2021-12-05 03:09:55
138,Concepcion Del Oro,24.6333,-101.4167,scattered clouds,60.51,36,49,5.01,MX,2021-12-05 03:09:55
139,Kapaa,22.0752,-159.319,light rain,71.92,73,90,1.01,US,2021-12-05 03:09:17
140,Pangnirtung,66.1451,-65.7125,light snow,16.3,93,100,2.73,CA,2021-12-05 03:09:56
141,Betsiamites,48.9413,-68.646,scattered clouds,18.0,78,38,6.04,CA,2021-12-05 03:09:56
142,Culaman,5.9603,125.6586,overcast clouds,85.05,67,100,10.07,PH,2021-12-05 03:09:56
143,Ganzhou,28.8184,115.4327,clear sky,60.58,35,0,1.63,CN,2021-12-05 03:05:00
144,Dunedin,-45.8742,170.5036,moderate rain,53.22,94,100,18.05,NZ,2021-12-05 03:09:57
145,East London,-33.0153,27.9116,light rain,68.86,95,100,20.33,ZA,2021-12-05 03:09:57
146,Springville,40.1652,-111.6107,clear sky,50.67,87,1,0.0,US,2021-12-05 03:09:58
147,Noumea,-22.2763,166.4572,scattered clouds,87.78,99,42,10.16,NC,2021-12-05 03:09:58
148,Male,4.1748,73.5089,scattered clouds,82.85,73,29,9.69,MV,2021-12-05 03:09:58
149,Katsuura,35.1333,140.3,broken clouds,50.14,60,63,13.89,JP,2021-12-05 03:09:59
150,Butaritari,3.0707,172.7902,overcast clouds,83.26,78,100,19.71,KI,2021-12-05 03:09:59
151,Lugovoy,42.9472,72.7644,broken clouds,39.99,74,75,4.85,KZ,2021-12-05 03:10:00
152,Victoria,22.2855,114.1577,broken clouds,69.24,46,84,1.99,HK,2021-12-05 03:09:20
153,Henties Bay,-22.116,14.2845,clear sky,57.85,88,0,7.65,NA,2021-12-05 03:10:00
154,Kisesa,-3.0833,34.15,overcast clouds,65.75,76,99,6.15,TZ,2021-12-05 03:10:01
155,Sovetskiy,61.3614,63.5842,overcast clouds,0.66,94,100,7.92,RU,2021-12-05 03:10:01
156,Atuona,-9.8,-139.0333,clear sky,78.53,75,6,17.13,PF,2021-12-05 03:10:01
157,Mogok,22.9167,96.5,broken clouds,70.32,54,84,1.41,MM,2021-12-05 03:10:02
158,Tautira,-17.7333,-149.15,scattered clouds,82.42,73,29,12.8,PF,2021-12-05 03:10:02
159,Busselton,-33.65,115.3333,scattered clouds,82.09,31,31,8.72,AU,2021-12-05 03:10:02
160,Sangueya,10.7,-14.3667,light rain,75.61,96,11,3.49,GN,2021-12-05 03:10:03
161,Figeac,44.75,1.9167,light rain,37.78,98,100,6.11,FR,2021-12-05 03:10:03
162,Sorong,-0.8833,131.25,heavy intensity rain,82.26,78,79,7.81,ID,2021-12-05 03:10:04
163,Bo Phloi,14.3236,99.5161,overcast clouds,69.76,51,100,12.91,TH,2021-12-05 03:10:04
164,Vihti,60.417,24.3197,few clouds,8.82,83,14,10.0,FI,2021-12-05 03:10:04
165,Langxiang,46.95,128.8833,few clouds,28.56,62,21,6.15,CN,2021-12-05 03:05:18
166,Morondava,-20.2833,44.2833,clear sky,79.14,81,6,4.43,MG,2021-12-05 03:10:05
167,Bogovarovo,58.9785,47.0246,overcast clouds,-0.58,95,97,6.87,RU,2021-12-05 03:10:05
168,Labuhan,-6.8844,112.2051,overcast clouds,83.46,73,97,10.22,ID,2021-12-05 03:10:06
169,Hilo,19.7297,-155.09,moderate rain,69.24,93,90,0.0,US,2021-12-05 03:10:06
170,Franca,-20.5386,-47.4008,overcast clouds,67.23,81,92,4.7,BR,2021-12-05 03:10:06
171,Saldanha,-33.0117,17.9442,light rain,60.03,94,100,10.04,ZA,2021-12-05 03:10:07
172,Sitka,57.0531,-135.33,light snow,30.09,86,75,4.61,US,2021-12-05 03:10:07
173,Posse,-14.0931,-46.3694,broken clouds,67.57,95,81,4.92,BR,2021-12-05 03:10:07
174,Severo-Kurilsk,50.6789,156.125,overcast clouds,31.87,64,87,23.69,RU,2021-12-05 03:10:08
175,Maymyo,22.0333,96.4667,broken clouds,66.76,67,68,2.53,MM,2021-12-05 03:10:08
176,Ambulu,-8.345,113.6058,light rain,83.57,68,98,3.27,ID,2021-12-05 03:10:08
177,Vila Velha,-20.3297,-40.2925,broken clouds,73.35,90,75,2.3,BR,2021-12-05 03:10:09
178,Bulgan,48.8125,103.5347,clear sky,26.28,36,0,10.96,MN,2021-12-05 03:10:09
179,Rome,34.257,-85.1647,overcast clouds,63.01,91,90,0.0,US,2021-12-05 03:11:10
180,Longhua,23.6137,114.1919,broken clouds,68.09,25,70,3.74,CN,2021-12-05 03:11:10
181,Sao Paulo De Olivenca,-3.3783,-68.8725,overcast clouds,73.69,99,100,2.06,BR,2021-12-05 03:11:10
